0.0	0.0
0.0	0.02
0.0	0.04
0.0	0.06
0.0	0.08
0.0	0.1
0.0	0.12
0.0	0.14
0.0	0.16
0.0	0.18
0.0	0.2
0.0	0.22
0.0	0.24
0.0	0.26
0.0	0.28
0.0	0.3
0.0	0.32
0.0	0.34
0.0	0.36
0.0	0.38
0.0	0.4
0.0	0.42
0.0	0.44
0.0	0.46
0.0	0.48
0.0	0.5
0.0	0.52
0.0	0.54
0.0	0.56
0.0	0.58
0.0	0.6
0.0	0.62
0.0	0.64
0.0	0.66
0.0	0.68
0.0	0.7000000000000001
0.0	0.72
0.0	0.74
0.0	0.76
0.0	0.78
0.0	0.8
0.0	0.8200000000000001
0.0	0.84
0.0	0.86
0.0	0.88
0.0	0.9
0.0	0.92
0.0	0.9400000000000001
0.0	0.96
0.0	0.98
0.0	1.0
0.0	1.02
0.0	1.04
0.0	1.06
0.0	1.08
0.0	1.1
0.0	1.12
0.0	1.1400000000000001
0.0	1.16
0.0	1.18
0.0	1.2
0.0	1.22
0.0	1.24
0.0	1.26
0.0	1.28
0.0	1.3
0.0	1.32
0.0	1.34
0.0	1.36
0.0	1.3800000000000001
0.0	1.4000000000000001
0.0	1.42
0.0	1.44
0.0	1.46
0.0	1.48
0.0	1.5
0.0	1.52
0.0	1.54
0.0	1.56
0.0	1.58
0.0	1.6
0.0	1.62
0.0	1.6400000000000001
0.0	1.6600000000000001
0.0	1.68
0.0	1.7
0.0	1.72
0.0	1.74
0.0	1.76
0.0	1.78
0.0	1.8
0.0	1.82
0.0	1.84
0.0	1.86
0.0	1.8800000000000001
0.0	1.9000000000000001
0.0	1.92
0.0	1.94
0.0	1.96
0.0	1.98
0.0	2.0
0.0	2.02
0.0	2.04
0.0	2.06
0.0	2.08
0.0	2.1
0.0	2.12
0.0	2.14
0.0	2.16
0.0	2.18
0.0	2.2
0.0	2.22
0.0	2.24
0.0	2.2600000000000002
0.0	2.2800000000000002
0.0	2.3000000000000003
0.0	2.32
0.0	2.34
0.0	2.36
0.0	2.38
0.0	2.4
0.0	2.42
0.0	2.44
0.0	2.46
0.0	2.48
0.0	2.5
0.0	2.52
0.0	2.54
0.0	2.56
0.0	2.58
0.0	2.6
0.0	2.62
0.0	2.64
0.0	2.66
0.0	2.68
0.0	2.7
0.0	2.72
0.0	2.74
